"key","key","comment","context"
"%d days","%d days","",""
"%d hours","%d hours","",""
"%d minutes","%d minutes","",""
"%d months","%d months","",""
"%d years","%d years","",""
"%s ago","%s ago","",""
"(end)","(end)","",""
"(start)","(start)","",""
"({0} items)","({0} items)","",""
"A server error occurred. Please contact the administrator.","A server error occurred. Please contact the administrator.","",""
"About","About","",""
"Action","Action","",""
"Action Category","Action Category","",""
"Action Sub-Category","Action Sub-Category","",""
"Active Users","Active Users","",""
"Adblocker detected!","Adblocker detected!","",""
"Add","Add","",""
"Add Field","Add Field","",""
"Add filter","Add filter","",""
"Add followers","Add followers","",""
"Add some tags","Add some tags","",""
"Add to favorites...","Add to favorites...","",""
"Advanced Search","Advanced Search","",""
"Alert","Alert","",""
"All Day","All Day","",""
"Apply","Apply","",""
"Apr","Apr","",""
"April","April","",""
"Archive","Archive","",""
"Are you sure to unfollow this document?","Are you sure to unfollow this document?","",""
"Are you sure to unfollow this group?","Are you sure to unfollow this group?","",""
"Are you sure you want to delete the {0} selected documents?","Are you sure you want to delete the {0} selected documents?","",""
"Are you sure you want to delete {0}?","Are you sure you want to delete {0}?","",""
"Attached to...","Attached to...","",""
"Attachments","Attachments","",""
"Attributes","Attributes","",""
"Aug","Aug","",""
"August","August","",""
"Back","Back","",""
"Background color","Background color","",""
"Blockquote","Blockquote","",""
"Bold (Ctrl+B)","Bold (Ctrl+B)","",""
"Calendar","Calendar","",""
"Cancel","Cancel","",""
"Cancelled","Cancelled","",""
"Cards","Cards","",""
"Center","Center","",""
"Change password","Change password","",""
"Chart","Chart","",""
"Clear","Clear","",""
"Click or drop image","Click or drop image","",""
"Close","Close","",""
"Close All","Close All","",""
"Close Others","Close Others","",""
"Code","Code","",""
"Concurrent updates error","Concurrent updates error","",""
"Confirm","Confirm","",""
"Confirm password","Confirm password","",""
"Confirm password doesn't match.","Confirm password doesn't match.","",""
"Create","Create","",""
"Create ""{0}"" and select...","Create ""{0}"" and select...","",""
"Create ""{0}""...","Create ""{0}""...","",""
"Create document","Create document","",""
"Create folder","Create folder","",""
"Create spreadsheet","Create spreadsheet","",""
"Create...","Create...","",""
"Created","Created","",""
"Created By:","Created By:","",""
"Created On:","Created On:","",""
"Current changes will be lost.","Current changes will be lost.","",""
"Current changes will be lost. Do you really want to proceed?","Current changes will be lost. Do you really want to proceed?","",""
"Current password","Current password","",""
"Custom ({0})","Custom ({0})","",""
"Customize...","Customize...","",""
"Day","Day","",""
"Days","Days","",""
"Dec","Dec","",""
"December","December","",""
"Delete","Delete","",""
"Delete...","Delete...","",""
"Description","Description","",""
"Details","Details","",""
"Directory","Directory","",""
"Do you really want to archive the selected record(s)?","Do you really want to archive the selected record(s)?","",""
"Do you really want to archive the selected record?","Do you really want to archive the selected record?","",""
"Do you really want to delete the selected record(s)?","Do you really want to delete the selected record(s)?","",""
"Do you really want to delete the selected record?","Do you really want to delete the selected record?","",""
"Do you really want to unarchive the selected record(s)?","Do you really want to unarchive the selected record(s)?","",""
"Do you really want to unarchive the selected record?","Do you really want to unarchive the selected record?","",""
"Do you really want to update all {0} record(s)?","Do you really want to update all {0} record(s)?","",""
"Document","Document","",""
"Domain","Domain","",""
"Done","Done","",""
"Download","Download","",""
"Downloading {0}...","Downloading {0}...","",""
"Drop your files to start upload.","Drop your files to start upload.","",""
"Duplicate","Duplicate","",""
"Duration","Duration","",""
"Edit","Edit","",""
"Edit event","Edit event","",""
"Edit...","Edit...","",""
"Email","Email","",""
"Error","Error","",""
"Expanded","Expanded","",""
"Export","Export","",""
"Export full","Export full","",""
"Failed","Failed","",""
"Failed!","Failed!","",""
"False","False","",""
"Feb","Feb","",""
"February","February","",""
"Field Name","Field Name","",""
"Field Type","Field Type","",""
"File upload","File upload","",""
"File {0} does not exist.","File {0} does not exist.","",""
"Filter","Filter","",""
"Filters","Filters","",""
"Filters ({0})","Filters ({0})","",""
"Folder","Folder","",""
"Follow: {0}","Follow: {0}","",""
"Followers","Followers","",""
"Font","Font","",""
"Font size","Font size","",""
"Form","Form","",""
"Formatted","Formatted","",""
"Fr","Fr","",""
"Free Memory","Free Memory","",""
"Fri","Fri","",""
"Friday","Friday","",""
"Gantt","Gantt","",""
"Go","Go","",""
"Grid","Grid","",""
"Group by","Group by","",""
"Grouped","Grouped","",""
"Header 1","Header 1","",""
"Header 2","Header 2","",""
"Header 3","Header 3","",""
"Header 4","Header 4","",""
"Header 5","Header 5","",""
"Header 6","Header 6","",""
"Hide","Hide","",""
"Hide legend","Hide legend","",""
"Home","Home","",""
"Hour","Hour","",""
"Hours","Hours","",""
"Indent","Indent","",""
"Information","Information","",""
"Insert image","Insert image","",""
"Insert link","Insert link","",""
"Internal Server Error","Internal Server Error","",""
"Invalid permissions","Invalid permissions","",""
"Invalid use of ""{0}"" action, must be the first action.","Invalid use of ""{0}"" action, must be the first action.","",""
"Invalid use of ""{0}"" action, must be the last action.","Invalid use of ""{0}"" action, must be the last action.","",""
"Italic (Ctrl+I)","Italic (Ctrl+I)","",""
"Jan","Jan","",""
"January","January","",""
"Java Runtime","Java Runtime","",""
"Java Version","Java Version","",""
"Jul","Jul","",""
"July","July","",""
"Jun","Jun","",""
"June","June","",""
"Justify","Justify","",""
